"Step","atomic-monkey-380 - neg_score","atomic-monkey-380 - neg_score__MIN","atomic-monkey-380 - neg_score__MAX"
"61","0.3064516129032258","0.3064516129032258","0.3064516129032258"
"62","0.31746031746031744","0.31746031746031744","0.31746031746031744"
"63","0.3125","0.3125","0.3125"
"64","0.3230769230769231","0.3230769230769231","0.3230769230769231"
"65","0.3181818181818182","0.3181818181818182","0.3181818181818182"
"66","0.31343283582089554","0.31343283582089554","0.31343283582089554"
"67","0.3235294117647059","0.3235294117647059","0.3235294117647059"
"68","0.3188405797101449","0.3188405797101449","0.3188405797101449"
"69","0.3142857142857143","0.3142857142857143","0.3142857142857143"
"70","0.323943661971831","0.323943661971831","0.323943661971831"
"71","0.3194444444444444","0.3194444444444444","0.3194444444444444"
"72","0.3287671232876712","0.3287671232876712","0.3287671232876712"
"73","0.32432432432432434","0.32432432432432434","0.32432432432432434"
"74","0.32","0.32","0.32"
"75","0.3157894736842105","0.3157894736842105","0.3157894736842105"
"76","0.3116883116883117","0.3116883116883117","0.3116883116883117"
"77","0.3076923076923077","0.3076923076923077","0.3076923076923077"
"78","0.3037974683544304","0.3037974683544304","0.3037974683544304"
"79","0.3","0.3","0.3"
"80","0.2962962962962963","0.2962962962962963","0.2962962962962963"
"81","0.2926829268292683","0.2926829268292683","0.2926829268292683"
"82","0.2891566265060241","0.2891566265060241","0.2891566265060241"
"83","0.2976190476190476","0.2976190476190476","0.2976190476190476"
"84","0.3058823529411765","0.3058823529411765","0.3058823529411765"
"85","0.3023255813953488","0.3023255813953488","0.3023255813953488"
"86","0.3103448275862069","0.3103448275862069","0.3103448275862069"
"87","0.3181818181818182","0.3181818181818182","0.3181818181818182"
"88","0.3146067415730337","0.3146067415730337","0.3146067415730337"
"89","0.3111111111111111","0.3111111111111111","0.3111111111111111"
"90","0.3076923076923077","0.3076923076923077","0.3076923076923077"
"91","0.30434782608695654","0.30434782608695654","0.30434782608695654"
"92","0.3010752688172043","0.3010752688172043","0.3010752688172043"
"93","0.2978723404255319","0.2978723404255319","0.2978723404255319"
"94","0.30526315789473685","0.30526315789473685","0.30526315789473685"
"95","0.3020833333333333","0.3020833333333333","0.3020833333333333"
"96","0.29896907216494845","0.29896907216494845","0.29896907216494845"
"97","0.30612244897959184","0.30612244897959184","0.30612244897959184"
"98","0.31313131313131315","0.31313131313131315","0.31313131313131315"
"99","0.31","0.31","0.31"
"100","0.31683168316831684","0.31683168316831684","0.31683168316831684"
"101","0.3235294117647059","0.3235294117647059","0.3235294117647059"
"102","0.32038834951456313","0.32038834951456313","0.32038834951456313"
"103","0.3269230769230769","0.3269230769230769","0.3269230769230769"
"104","0.3238095238095238","0.3238095238095238","0.3238095238095238"
"105","0.32075471698113206","0.32075471698113206","0.32075471698113206"
"106","0.32710280373831774","0.32710280373831774","0.32710280373831774"
"107","0.32407407407407407","0.32407407407407407","0.32407407407407407"
"108","0.3211009174311927","0.3211009174311927","0.3211009174311927"
"109","0.3181818181818182","0.3181818181818182","0.3181818181818182"
