"Step","quality_score","ethereal-thunder-547 - quality_score__MIN","ethereal-thunder-547 - quality_score__MAX"
"285","0.9","0.9","0.9"
"286","0.9","0.9","0.9"
"287","0.9","0.9","0.9"
"288","1","1","1"
"289","1","1","1"
"290","1","1","1"
"291","1","1","1"
"292","0.9","0.9","0.9"
"293","0.9","0.9","0.9"
"294","0.9","0.9","0.9"
"295","0.9","0.9","0.9"
"296","0.9","0.9","0.9"
"297","0.9","0.9","0.9"
"298","0.9","0.9","0.9"
"299","0.8","0.8","0.8"
"300","0.9","0.9","0.9"
"301","0.8","0.8","0.8"
"302","0.8","0.8","0.8"
"303","0.9","0.9","0.9"
"304","0.9","0.9","0.9"
"305","1","1","1"
"306","0.9","0.9","0.9"
"307","0.8","0.8","0.8"
"308","0.9","0.9","0.9"
"309","0.9","0.9","0.9"
"310","1","1","1"
"311","0.9","0.9","0.9"
"312","1","1","1"
"313","0.9","0.9","0.9"
"314","1","1","1"
"315","0.9","0.9","0.9"
"316","1","1","1"
"317","0.9","0.9","0.9"
"318","0.9","0.9","0.9"
"319","0.8","0.8","0.8"
"320","0.9","0.9","0.9"
"321","1","1","1"
"322","1","1","1"
"323","0.8","0.8","0.8"
"324","0.8","0.8","0.8"
"325","0.8","0.8","0.8"
"326","1","1","1"
"327","0.9","0.9","0.9"
"328","0.9","0.9","0.9"
"329","0.8","0.8","0.8"
"330","1","1","1"
"331","0.9","0.9","0.9"
"332","0.8","0.8","0.8"
"333","1","1","1"
"334","0.9","0.9","0.9"
"335","0.9","0.9","0.9"
"336","1","1","1"
"337","0.9","0.9","0.9"
"338","0.9","0.9","0.9"
"339","1","1","1"
"340","0.8","0.8","0.8"
"341","0.9","0.9","0.9"
"342","1","1","1"
"343","1","1","1"
"344","0.9","0.9","0.9"
"345","0.8","0.8","0.8"
"346","1","1","1"
"347","1","1","1"
"348","0.9","0.9","0.9"
"349","0.9","0.9","0.9"
"350","1","1","1"
"351","0.9","0.9","0.9"
